Date,Open
2013-11-14,460.3
2013-11-18,463.0
2013-11-19,461.0
2013-11-20,458.0
2013-11-21,452.25
2013-11-22,452.0
2013-11-25,452.2
2013-11-26,458.0
2013-11-27,461.2
2013-11-28,479.6
2013-11-29,480.0
2013-12-02,480.0
2013-12-03,468.75
2013-12-04,473.0
2013-12-05,473.3
2013-12-06,461.9
2013-12-09,466.25
2013-12-10,472.0
2013-12-11,469.1
2013-12-12,462.0
2013-12-13,462.0
2013-12-16,457.0
2013-12-17,454.6
2013-12-18,457.0
2013-12-19,464.0
2013-12-20,466.0
2013-12-23,470.0
2013-12-24,477.0
2013-12-26,473.0
2013-12-27,478.95
2013-12-30,486.1
2013-12-31,484.05
2014-01-01,484.35
2014-01-02,483.05
2014-01-03,465.0
2014-01-06,471.95
2014-01-07,477.95
2014-01-08,468.4
2014-01-09,465.0
2014-01-10,465.0
2014-01-13,469.0
2014-01-14,480.8
2014-01-15,486.8
2014-01-16,479.95
2014-01-17,473.05
2014-01-20,466.25
2014-01-21,476.0
2014-01-22,477.55
2014-01-23,479.65
2014-01-24,482.5
2014-01-27,470.0
2014-01-28,455.5
2014-01-29,456.0
2014-01-30,461.0
2014-01-31,461.0
2014-02-03,463.0
2014-02-04,455.0
2014-02-05,446.0
2014-02-06,438.0
2014-02-07,445.8
2014-02-10,448.7
2014-02-11,449.15
2014-02-12,458.95
2014-02-13,462.85
2014-02-14,462.5
2014-02-17,459.45
2014-02-18,448.05
2014-02-19,450.0
2014-02-20,454.95
2014-02-21,447.9
2014-02-24,443.0
2014-02-25,445.1
2014-02-26,446.2
2014-02-28,440.0
2014-03-03,453.5
2014-03-04,453.0
2014-03-05,457.0
2014-03-06,468.2
2014-03-07,474.05
2014-03-10,486.5
2014-03-11,482.25
2014-03-12,473.1
2014-03-13,469.8
2014-03-14,480.05
2014-03-18,480.1
2014-03-19,490.5
2014-03-20,481.55
2014-03-21,480.0
2014-03-22,482.6
2014-03-24,485.95
2014-03-25,476.0
2014-03-26,463.25
2014-03-27,483.0
2014-03-28,476.3
2014-03-31,479.95
2014-04-01,484.4
2014-04-02,494.75
2014-04-03,492.0
2014-04-04,490.0
2014-04-07,483.15
2014-04-09,485.05
2014-04-10,485.35
2014-04-11,481.25
2014-04-15,482.3
2014-04-16,479.1
2014-04-17,477.0
2014-04-21,481.9
2014-04-22,484.0
2014-04-23,496.9
2014-04-25,492.0
2014-04-28,494.75
2014-04-29,495.0
2014-04-30,485.5
2014-05-02,475.15
2014-05-05,479.0
2014-05-06,481.3
2014-05-07,485.2
2014-05-08,491.95
2014-05-09,489.9
2014-05-12,495.1
2014-05-13,514.5
2014-05-14,532.0
2014-05-15,550.0
2014-05-16,555.0
2014-05-19,570.0
2014-05-20,611.65
2014-05-21,598.0
2014-05-22,616.0
2014-05-23,629.0
2014-05-26,606.5
2014-05-27,607.5
2014-05-28,564.9
2014-05-29,567.8
2014-05-30,556.3
2014-06-02,574.9
2014-06-03,574.2
2014-06-04,570.05
2014-06-05,560.2
2014-06-06,579.0
2014-06-09,610.2
2014-06-10,611.0
2014-06-11,595.0
2014-06-12,594.0
2014-06-13,605.25
2014-06-16,585.1
2014-06-17,597.35
2014-06-18,610.0
2014-06-19,597.0
2014-06-20,572.6
2014-06-23,568.25
2014-06-24,592.0
2014-06-25,600.0
2014-06-26,568.6
2014-06-27,570.05
2014-06-30,575.6
2014-07-01,592.5
2014-07-02,593.0
2014-07-03,594.5
2014-07-04,589.0
2014-07-07,588.95
2014-07-08,585.0
2014-07-09,573.5
2014-07-10,570.2
2014-07-11,582.0
2014-07-14,574.7
2014-07-15,573.05
2014-07-16,588.5
2014-07-17,579.8
2014-07-18,577.95
2014-07-21,575.05
2014-07-22,579.4
2014-07-23,582.3
2014-07-24,584.95
2014-07-25,581.0
2014-07-28,577.0
2014-07-30,579.55
2014-07-31,566.7
2014-08-01,560.0
2014-08-04,565.0
2014-08-05,569.0
2014-08-06,570.0
2014-08-07,575.25
2014-08-08,575.0
2014-08-11,568.0
2014-08-12,569.0
2014-08-13,575.9
2014-08-14,578.7
2014-08-18,584.75
2014-08-19,600.0
2014-08-20,603.8
2014-08-21,602.6
2014-08-22,608.0
2014-08-25,604.8
2014-08-26,593.8
2014-08-27,600.0
2014-08-28,611.0
2014-09-01,616.95
2014-09-02,620.35
2014-09-03,621.0
2014-09-04,625.0
2014-09-05,631.0
2014-09-08,650.0
2014-09-09,669.95
2014-09-10,661.0
2014-09-11,641.9
2014-09-12,643.95
2014-09-15,639.1
2014-09-16,646.7
2014-09-17,633.0
2014-09-18,644.85
2014-09-19,627.3
2014-09-22,611.0
2014-09-23,618.8
2014-09-24,605.9
2014-09-25,607.1
2014-09-26,600.35
2014-09-29,615.7
2014-09-30,602.05
2014-10-01,603.1
2014-10-07,594.0
2014-10-08,590.0
2014-10-09,602.0
2014-10-10,612.0
2014-10-13,600.15
2014-10-14,597.05
2014-10-16,583.35
2014-10-17,570.0
2014-10-20,603.25
2014-10-21,589.7
2014-10-22,593.0
2014-10-23,589.4
2014-10-27,595.0
2014-10-28,595.15
2014-10-29,601.0
2014-10-30,613.0
2014-10-31,618.0
2014-11-03,632.0
2014-11-05,631.4
2014-11-07,620.0
2014-11-10,607.0
2014-11-11,608.7
2014-11-12,610.0
2014-11-13,594.1
2014-11-14,583.0
2014-11-17,592.0
2014-11-18,595.95
2014-11-19,588.0
2014-11-20,581.8
2014-11-21,579.65
2014-11-24,590.05
2014-11-25,595.0
2014-11-26,600.0
2014-11-27,616.8
2014-11-28,610.0
2014-12-01,591.0
2014-12-02,576.0
2014-12-03,580.0
2014-12-04,587.2
2014-12-05,591.95
2014-12-08,575.35
2014-12-09,575.0
2014-12-10,571.35
2014-12-11,569.45
2014-12-12,566.15
2014-12-15,544.9
2014-12-16,530.0
2014-12-17,539.95
2014-12-18,550.0
2014-12-19,565.0
2014-12-22,562.65
2014-12-23,567.75
2014-12-24,569.95
2014-12-26,570.65
2014-12-29,566.0
2014-12-30,569.0
2014-12-31,565.0
2015-01-01,572.25
2015-01-02,580.0
2015-01-05,575.0
2015-01-06,559.85
2015-01-07,536.0
2015-01-08,535.0
2015-01-09,552.0
2015-01-12,568.0
2015-01-13,545.6
2015-01-14,540.85
2015-01-15,537.0
2015-01-16,530.5
2015-01-19,526.0
2015-01-20,538.0
2015-01-21,535.25
2015-01-22,535.25
2015-01-23,548.0
2015-01-27,553.2
2015-01-28,546.0
2015-01-29,561.0
2015-01-30,554.0
2015-02-02,536.2
2015-02-03,539.8
2015-02-04,541.0
2015-02-05,548.85
2015-02-06,536.5
2015-02-09,545.0
2015-02-10,540.0
2015-02-11,532.0
2015-02-12,534.65
2015-02-13,521.0
2015-02-16,505.0
2015-02-18,501.8
2015-02-19,503.3
2015-02-20,499.0
2015-02-23,500.0
2015-02-24,489.0
2015-02-25,472.5
2015-02-26,480.9
2015-02-27,475.9
2015-02-28,505.8
2015-03-02,500.1
2015-03-03,504.0
2015-03-04,491.55
2015-03-05,493.0
2015-03-09,494.0
2015-03-10,490.0
2015-03-11,495.0
2015-03-12,486.1
2015-03-13,488.0
2015-03-16,486.85
2015-03-17,479.8
2015-03-18,482.0
2015-03-19,480.0
2015-03-20,484.0
2015-03-23,483.0
2015-03-24,478.7
2015-03-25,476.7
2015-03-26,470.0
2015-03-27,469.95
2015-03-30,460.0
2015-03-31,459.8
2015-04-01,454.0
2015-04-06,459.4
2015-04-07,461.0
2015-04-08,459.1
2015-04-09,454.9
2015-04-10,456.65
2015-04-13,470.0
2015-04-15,483.9
2015-04-16,499.9
2015-04-17,515.0
2015-04-20,518.9
2015-04-21,498.0
2015-04-22,490.0
2015-04-23,469.9
2015-04-24,475.9
2015-04-27,470.05
2015-04-28,466.2
2015-04-29,468.0
2015-04-30,466.0
2015-05-04,460.5
2015-05-05,487.0
2015-05-06,490.25
2015-05-07,470.0
2015-05-08,468.9
2015-05-11,473.7
2015-05-12,489.9
2015-05-13,486.0
2015-05-14,479.0
2015-05-15,490.1
2015-05-18,498.95
2015-05-19,500.0
2015-05-20,500.0
2015-05-21,491.95
2015-05-22,490.0
2015-05-25,478.8
2015-05-26,480.9
2015-05-27,474.95
2015-05-28,474.7
2015-05-29,478.4
2015-06-01,470.0
2015-06-02,485.8
2015-06-03,474.05
2015-06-04,475.0
2015-06-05,474.0
2015-06-08,471.9
2015-06-09,468.05
2015-06-10,466.0
2015-06-11,472.0
2015-06-12,467.0
2015-06-15,466.0
2015-06-16,467.0
2015-06-17,468.5
2015-06-18,461.25
2015-06-19,466.5
2015-06-22,472.6
2015-06-23,470.85
2015-06-24,474.2
2015-06-25,472.95
2015-06-26,469.5
2015-06-29,458.2
2015-06-30,448.0
2015-07-01,448.55
2015-07-02,451.9
2015-07-03,457.0
2015-07-06,450.0
2015-07-07,450.0
2015-07-08,445.8
2015-07-09,430.25
2015-07-10,425.2
2015-07-13,440.0
2015-07-14,437.5
2015-07-15,440.8
2015-07-16,444.0
2015-07-17,446.45
2015-07-20,442.95
2015-07-21,439.95
2015-07-22,435.5
2015-07-23,437.0
2015-07-24,442.9
2015-07-27,446.0
2015-07-28,435.0
2015-07-29,432.0
2015-07-30,427.95
2015-07-31,425.0
2015-08-03,430.0
2015-08-04,440.05
2015-08-05,440.5
2015-08-06,450.9
2015-08-07,453.15
2015-08-10,456.0
2015-08-11,457.0
2015-08-12,452.85
2015-08-13,449.4
2015-08-14,452.0
2015-08-17,457.75
2015-08-18,465.0
2015-08-19,461.0
2015-08-20,462.0
2015-08-21,451.55
2015-08-24,441.0
2015-08-25,435.0
2015-08-26,434.95
2015-08-27,457.9
2015-08-28,464.9
2015-08-31,469.0
2015-09-01,451.75
2015-09-02,450.1
2015-09-03,455.85
2015-09-04,459.0
2015-09-07,441.95
2015-09-08,433.15
2015-09-09,439.9
2015-09-10,436.95
2015-09-11,447.9
2015-09-14,447.9
2015-09-15,447.0
2015-09-16,438.5
2015-09-18,439.0
2015-09-21,433.1
2015-09-22,440.5
2015-09-23,432.0
2015-09-24,430.0
2015-09-28,432.0
2015-09-29,421.9
2015-09-30,429.95
2015-10-01,425.5
2015-10-05,432.3
2015-10-06,440.7
2015-10-07,448.7
2015-10-08,460.0
2015-10-09,466.2
2015-10-12,454.55
2015-10-13,446.2
2015-10-14,448.95
2015-10-15,442.8
2015-10-16,443.0
2015-10-19,445.5
2015-10-20,442.0
2015-10-21,438.0
2015-10-23,435.0
2015-10-26,432.3
2015-10-27,419.05
2015-10-28,409.0
2015-10-29,405.0
2015-10-30,403.0
2015-11-02,404.5
2015-11-03,404.95
2015-11-04,406.0
2015-11-05,403.25
2015-11-06,403.5
2015-11-09,396.55
2015-11-10,399.8
2015-11-11,391.0
2015-11-13,388.5
2015-11-16,369.15
2015-11-17,362.9
2015-11-18,363.2
2015-11-19,368.0
2015-11-20,361.05
